round,case_id,data_type,partition_execution_sec,end_to_end_sec,queue_wait_sec,ray_job_sec,ray_driver_internal_sec,worker_internal_max_sec,worker_internal_sum_sec,workflow_internal_sec,attempt_status,final_status,ray_job_status,backend_under_10,e2e_under_10,output_valid,tiles,indexes,grid_cells,units,cell_tasks,ray_tasks,worker_results,worker_hosts,ray_parallelism
1,optical_isea4h,optical,9.012541,12.274198,3.220032,12.497,9.157887,2.704088,13.852342000000002,9.005902,succeeded,completed,SUCCEEDED,True,False,True,20,20,5,4,20,20,20,18,16
2,optical_isea4h,optical,5.596383,7.989969,2.359373,8.852,5.755464,2.629372,13.839047000000003,5.589465,succeeded,completed,SUCCEEDED,True,True,True,20,20,5,4,20,20,20,20,16
3,optical_isea4h,optical,5.343958,7.737783,2.35656,8.575,5.497494,2.496986,13.285198999999997,5.337116,succeeded,completed,SUCCEEDED,True,True,True,20,20,5,4,20,20,20,20,16
4,optical_isea4h,optical,5.577893,8.91775,3.305149,9.811,6.726818,2.622089,13.538537999999999,5.57161,succeeded,completed,SUCCEEDED,True,True,True,20,20,5,4,20,20,20,20,16
5,optical_isea4h,optical,5.616617,7.949273,2.302188,8.896,5.771858,2.64284,13.685611,5.610528,succeeded,completed,SUCCEEDED,True,True,True,20,20,5,4,20,20,20,20,16
1,radar_isea4h,radar,4.030539,6.317099,2.250264,7.25,4.179706,2.113107,4.210266,4.023857,succeeded,completed,SUCCEEDED,True,True,True,6,6,3,2,6,2,2,2,16
2,radar_isea4h,radar,3.946304,6.436529,2.451493,7.339,4.095706,2.039572,4.069971000000001,3.939725,succeeded,completed,SUCCEEDED,True,True,True,6,6,3,2,6,2,2,2,16
3,radar_isea4h,radar,3.967031,6.318537,2.319021,7.311,4.126773,2.074831,4.090737000000001,3.960836,succeeded,completed,SUCCEEDED,True,True,True,6,6,3,2,6,2,2,2,16
4,radar_isea4h,radar,3.958052,6.464797,2.468991,7.382,4.131068,2.043265,4.028842,3.950673,succeeded,completed,SUCCEEDED,True,True,True,6,6,3,2,6,2,2,2,16
5,radar_isea4h,radar,3.961026,6.328424,2.327168,7.217,4.110764,2.037242,4.051788999999999,3.954899,succeeded,completed,SUCCEEDED,True,True,True,6,6,3,2,6,2,2,2,16
1,product_isea4h,product,2.943707,5.261711,2.282333,6.172,3.090644,1.028547,2.941915,2.937547,succeeded,completed,SUCCEEDED,True,True,True,5,5,5,1,5,5,5,5,16
2,product_isea4h,product,2.959487,5.303806,2.300918,6.174,3.101685,0.947611,2.8028199999999996,2.951871,succeeded,completed,SUCCEEDED,True,True,True,5,5,5,1,5,5,5,5,16
3,product_isea4h,product,2.954987,5.250749,2.264899,6.147,3.109308,1.016991,2.945293,2.948817,succeeded,completed,SUCCEEDED,True,True,True,5,5,5,1,5,5,5,5,16
4,product_isea4h,product,2.938187,5.287432,2.300242,6.18,3.095777,0.943978,2.763627,2.930312,succeeded,completed,SUCCEEDED,True,True,True,5,5,5,1,5,5,5,5,16
5,product_isea4h,product,3.028856,5.420718,2.360349,6.281,3.184197,0.921572,2.742781,3.020996,succeeded,completed,SUCCEEDED,True,True,True,5,5,5,1,5,5,5,5,16
1,carbon_isea4h,carbon,2.229013,4.583931,2.320096,5.498,2.376404,0.244462,0.244462,2.221042,succeeded,completed,SUCCEEDED,True,True,True,1,1,1,1,1,1,1,1,1
2,carbon_isea4h,carbon,2.424173,4.793081,2.330495,5.702,2.574539,0.5826,0.5826,2.41731,succeeded,completed,SUCCEEDED,True,True,True,1,1,1,1,1,1,1,1,1
3,carbon_isea4h,carbon,2.416002,4.699077,2.253613,5.347,2.554245,0.582166,0.582166,2.40987,succeeded,completed,SUCCEEDED,True,True,True,1,1,1,1,1,1,1,1,1
4,carbon_isea4h,carbon,2.522762,4.960625,2.405661,6.094,2.671125,0.143545,0.143545,2.516176,succeeded,completed,SUCCEEDED,True,True,True,1,1,1,1,1,1,1,1,1
5,carbon_isea4h,carbon,2.122763,4.415191,2.263236,5.349,2.273701,0.142325,0.142325,2.115728,succeeded,completed,SUCCEEDED,True,True,True,1,1,1,1,1,1,1,1,1
