round,case_id,data_type,scene_units,cell_tasks,ray_tasks,worker_results,worker_hosts,ray_parallelism,tiles,indexes,grid_cells
1,optical_isea4h,optical,4,20,20,20,18,16,20,20,5
1,radar_isea4h,radar,2,6,2,2,2,16,6,6,3
1,product_isea4h,product,1,5,5,5,5,16,5,5,5
1,carbon_isea4h,carbon,1,1,1,1,1,1,1,1,1
2,optical_isea4h,optical,4,20,20,20,20,16,20,20,5
2,radar_isea4h,radar,2,6,2,2,2,16,6,6,3
2,product_isea4h,product,1,5,5,5,5,16,5,5,5
2,carbon_isea4h,carbon,1,1,1,1,1,1,1,1,1
3,optical_isea4h,optical,4,20,20,20,20,16,20,20,5
3,radar_isea4h,radar,2,6,2,2,2,16,6,6,3
3,product_isea4h,product,1,5,5,5,5,16,5,5,5
3,carbon_isea4h,carbon,1,1,1,1,1,1,1,1,1
4,optical_isea4h,optical,4,20,20,20,20,16,20,20,5
4,radar_isea4h,radar,2,6,2,2,2,16,6,6,3
4,product_isea4h,product,1,5,5,5,5,16,5,5,5
4,carbon_isea4h,carbon,1,1,1,1,1,1,1,1,1
5,optical_isea4h,optical,4,20,20,20,20,16,20,20,5
5,radar_isea4h,radar,2,6,2,2,2,16,6,6,3
5,product_isea4h,product,1,5,5,5,5,16,5,5,5
5,carbon_isea4h,carbon,1,1,1,1,1,1,1,1,1
