operation,object_type,round,tile_count,phase,elapsed_sec
write,entity_tile,1,1,write,0.050727
write,entity_tile,1,1,verify,0.007135
write,entity_tile,1,1,cleanup,0.024092
write,entity_tile,1,10,write,0.258816
write,entity_tile,1,10,verify,0.027438
write,entity_tile,1,10,cleanup,0.109765
write,entity_tile,1,100,write,1.026513
write,entity_tile,1,100,verify,0.220956
write,entity_tile,1,100,cleanup,4.032072
write,entity_tile,1,1000,write,9.611594
write,entity_tile,1,1000,verify,1.854747
write,entity_tile,1,1000,cleanup,16.148775
write,entity_tile,2,1,write,0.058557
write,entity_tile,2,1,verify,0.007354
write,entity_tile,2,1,cleanup,0.02384
write,entity_tile,2,10,write,0.413762
write,entity_tile,2,10,verify,0.026527
write,entity_tile,2,10,cleanup,0.116245
write,entity_tile,2,100,write,0.973717
write,entity_tile,2,100,verify,0.228362
write,entity_tile,2,100,cleanup,0.984217
write,entity_tile,2,1000,write,9.678453
write,entity_tile,2,1000,verify,1.811515
write,entity_tile,2,1000,cleanup,10.393727
write,entity_tile,3,1,write,0.054173
write,entity_tile,3,1,verify,0.007558
write,entity_tile,3,1,cleanup,3.016087
write,entity_tile,3,10,write,0.175921
write,entity_tile,3,10,verify,0.030444
write,entity_tile,3,10,cleanup,0.209221
write,entity_tile,3,100,write,1.374722
write,entity_tile,3,100,verify,0.26832
write,entity_tile,3,100,cleanup,1.012052
write,entity_tile,3,1000,write,9.82934
write,entity_tile,3,1000,verify,1.908991
write,entity_tile,3,1000,cleanup,13.274581
write,entity_tile,4,1,write,0.056618
write,entity_tile,4,1,verify,0.007561
write,entity_tile,4,1,cleanup,0.02516
write,entity_tile,4,10,write,0.132667
write,entity_tile,4,10,verify,0.027681
write,entity_tile,4,10,cleanup,0.116732
write,entity_tile,4,100,write,0.970717
write,entity_tile,4,100,verify,0.238176
write,entity_tile,4,100,cleanup,1.010777
write,entity_tile,4,1000,write,12.903733
write,entity_tile,4,1000,verify,1.862707
write,entity_tile,4,1000,cleanup,11.136985
write,entity_tile,5,1,write,0.058063
write,entity_tile,5,1,verify,0.007626
write,entity_tile,5,1,cleanup,0.024396
write,entity_tile,5,10,write,0.132204
write,entity_tile,5,10,verify,0.026493
write,entity_tile,5,10,cleanup,0.116791
write,entity_tile,5,100,write,1.102047
write,entity_tile,5,100,verify,0.23525
write,entity_tile,5,100,cleanup,3.910976
write,entity_tile,5,1000,write,10.690735
write,entity_tile,5,1000,verify,1.837752
write,entity_tile,5,1000,cleanup,11.111797
read,logical_chunk,1,1,read,0.007018
read,logical_chunk,1,10,read,0.012589
read,logical_chunk,1,100,read,0.090353
read,logical_chunk,1,1000,read,0.879216
read,logical_chunk,2,1,read,0.002951
read,logical_chunk,2,10,read,0.010707
read,logical_chunk,2,100,read,0.088772
read,logical_chunk,2,1000,read,0.892014
read,logical_chunk,3,1,read,0.002911
read,logical_chunk,3,10,read,0.015959
read,logical_chunk,3,100,read,0.09448
read,logical_chunk,3,1000,read,0.882434
read,logical_chunk,4,1,read,0.003015
read,logical_chunk,4,10,read,0.012294
read,logical_chunk,4,100,read,0.095904
read,logical_chunk,4,1000,read,0.920545
read,logical_chunk,5,1,read,0.00292
read,logical_chunk,5,10,read,0.010784
read,logical_chunk,5,100,read,0.092196
read,logical_chunk,5,1000,read,0.924948
read,entity_tile,1,1,read,0.005016
read,entity_tile,1,10,read,0.01178
read,entity_tile,1,100,read,0.111096
read,entity_tile,1,1000,read,1.037286
read,entity_tile,2,1,read,0.003392
read,entity_tile,2,10,read,0.012596
read,entity_tile,2,100,read,0.106011
read,entity_tile,2,1000,read,1.024608
read,entity_tile,3,1,read,0.002951
read,entity_tile,3,10,read,0.012334
read,entity_tile,3,100,read,0.108462
read,entity_tile,3,1000,read,1.0411
read,entity_tile,4,1,read,0.003453
read,entity_tile,4,10,read,0.012756
read,entity_tile,4,100,read,0.101411
read,entity_tile,4,1000,read,1.037371
read,entity_tile,5,1,read,0.00312
read,entity_tile,5,10,read,0.012553
read,entity_tile,5,100,read,0.101016
read,entity_tile,5,1000,read,1.037133
