operation,object_type,round,tile_count,payload_bytes,payload_bytes_min,payload_bytes_max,total_bytes,concurrency,write_sec,read_sec,io_sec,write_ms_per_tile,read_ms_per_tile,write_mib_per_sec,read_mib_per_sec,verify_sec,cleanup_sec,verified_object_count,verified_byte_count,source_object_count,valid,error
write,entity_tile,1,1,22430,,,22430,8,0.050727,,0.050727,50.727,,0.421687,,0.007135,0.024092,1,22430,,True,
write,entity_tile,1,10,22430,,,224300,8,0.258816,,0.258816,25.8816,,0.826491,,0.027438,0.109765,10,224300,,True,
write,entity_tile,1,100,22430,,,2243000,8,1.026513,,1.026513,10.26513,,2.083843,,0.220956,4.032072,100,2243000,,True,
write,entity_tile,1,1000,22430,,,22430000,8,9.611594,,9.611594,9.611594,,2.225533,,1.854747,16.148775,1000,22430000,,True,
write,entity_tile,2,1,22430,,,22430,8,0.058557,,0.058557,58.557,,0.365301,,0.007354,0.02384,1,22430,,True,
write,entity_tile,2,10,22430,,,224300,8,0.413762,,0.413762,41.3762,,0.516986,,0.026527,0.116245,10,224300,,True,
write,entity_tile,2,100,22430,,,2243000,8,0.973717,,0.973717,9.73717,,2.196831,,0.228362,0.984217,100,2243000,,True,
write,entity_tile,2,1000,22430,,,22430000,8,9.678453,,9.678453,9.678453,,2.210158,,1.811515,10.393727,1000,22430000,,True,
write,entity_tile,3,1,22430,,,22430,8,0.054173,,0.054173,54.173,,0.394863,,0.007558,3.016087,1,22430,,True,
write,entity_tile,3,10,22430,,,224300,8,0.175921,,0.175921,17.5921,,1.215939,,0.030444,0.209221,10,224300,,True,
write,entity_tile,3,100,22430,,,2243000,8,1.374722,,1.374722,13.74722,,1.556018,,0.26832,1.012052,100,2243000,,True,
write,entity_tile,3,1000,22430,,,22430000,8,9.82934,,9.82934,9.82934,,2.176231,,1.908991,13.274581,1000,22430000,,True,
write,entity_tile,4,1,22430,,,22430,8,0.056618,,0.056618,56.618,,0.377811,,0.007561,0.02516,1,22430,,True,
write,entity_tile,4,10,22430,,,224300,8,0.132667,,0.132667,13.2667,,1.612376,,0.027681,0.116732,10,224300,,True,
write,entity_tile,4,100,22430,,,2243000,8,0.970717,,0.970717,9.70717,,2.20362,,0.238176,1.010777,100,2243000,,True,
write,entity_tile,4,1000,22430,,,22430000,8,12.903733,,12.903733,12.903733,,1.657731,,1.862707,11.136985,1000,22430000,,True,
write,entity_tile,5,1,22430,,,22430,8,0.058063,,0.058063,58.063,,0.368409,,0.007626,0.024396,1,22430,,True,
write,entity_tile,5,10,22430,,,224300,8,0.132204,,0.132204,13.2204,,1.618023,,0.026493,0.116791,10,224300,,True,
write,entity_tile,5,100,22430,,,2243000,8,1.102047,,1.102047,11.02047,,1.941017,,0.23525,3.910976,100,2243000,,True,
write,entity_tile,5,1000,22430,,,22430000,8,10.690735,,10.690735,10.690735,,2.000883,,1.837752,11.111797,1000,22430000,,True,
read,logical_chunk,1,1,894,894,894,894,8,,0.007018,0.007018,,7.018,,0.121485,,0.0,,894,4,True,
read,logical_chunk,1,10,895,894,897,8951,8,,0.012589,0.012589,,1.2589,,0.678079,,0.0,,8951,4,True,
read,logical_chunk,1,100,895,894,897,89525,8,,0.090353,0.090353,,0.90353,,0.944935,,0.0,,89525,4,True,
read,logical_chunk,1,1000,895,894,897,895250,8,,0.879216,0.879216,,0.879216,,0.971066,,0.0,,895250,4,True,
read,logical_chunk,2,1,894,894,894,894,8,,0.002951,0.002951,,2.951,,0.288914,,0.0,,894,4,True,
read,logical_chunk,2,10,895,894,897,8951,8,,0.010707,0.010707,,1.0707,,0.797267,,0.0,,8951,4,True,
read,logical_chunk,2,100,895,894,897,89525,8,,0.088772,0.088772,,0.88772,,0.961764,,0.0,,89525,4,True,
read,logical_chunk,2,1000,895,894,897,895250,8,,0.892014,0.892014,,0.892014,,0.957134,,0.0,,895250,4,True,
read,logical_chunk,3,1,894,894,894,894,8,,0.002911,0.002911,,2.911,,0.292884,,0.0,,894,4,True,
read,logical_chunk,3,10,895,894,897,8951,8,,0.015959,0.015959,,1.5959,,0.534892,,0.0,,8951,4,True,
read,logical_chunk,3,100,895,894,897,89525,8,,0.09448,0.09448,,0.9448,,0.903659,,0.0,,89525,4,True,
read,logical_chunk,3,1000,895,894,897,895250,8,,0.882434,0.882434,,0.882434,,0.967525,,0.0,,895250,4,True,
read,logical_chunk,4,1,894,894,894,894,8,,0.003015,0.003015,,3.015,,0.282781,,0.0,,894,4,True,
read,logical_chunk,4,10,895,894,897,8951,8,,0.012294,0.012294,,1.2294,,0.69435,,0.0,,8951,4,True,
read,logical_chunk,4,100,895,894,897,89525,8,,0.095904,0.095904,,0.95904,,0.890241,,0.0,,89525,4,True,
read,logical_chunk,4,1000,895,894,897,895250,8,,0.920545,0.920545,,0.920545,,0.927469,,0.0,,895250,4,True,
read,logical_chunk,5,1,894,894,894,894,8,,0.00292,0.00292,,2.92,,0.291981,,0.0,,894,4,True,
read,logical_chunk,5,10,895,894,897,8951,8,,0.010784,0.010784,,1.0784,,0.791574,,0.0,,8951,4,True,
read,logical_chunk,5,100,895,894,897,89525,8,,0.092196,0.092196,,0.92196,,0.926046,,0.0,,89525,4,True,
read,logical_chunk,5,1000,895,894,897,895250,8,,0.924948,0.924948,,0.924948,,0.923054,,0.0,,895250,4,True,
read,entity_tile,1,1,22430,22430,22430,22430,8,,0.005016,0.005016,,5.016,,4.264536,,0.0,,22430,4,True,
read,entity_tile,1,10,22430,22430,22430,224300,8,,0.01178,0.01178,,1.178,,18.158671,,0.0,,224300,4,True,
read,entity_tile,1,100,22430,22430,22430,2243000,8,,0.111096,0.111096,,1.11096,,19.254442,,0.0,,2243000,4,True,
