round,case_id,path,scope,phase,phase_count,elapsed_sec,scope_elapsed_sec
1,optical_isea4h,timings.job_driver,ray_job_driver,workflow.run,1,9.006208,9.157887
1,optical_isea4h,timings.job_driver,ray_job_driver,driver.bootstrap,1,0.146647,9.157887
1,optical_isea4h,timings.job_driver,ray_job_driver,task.start_attempt,1,0.00423,9.157887
1,optical_isea4h,datasets[0].timings.units[0].driver,raster_driver,grid.cover,1,0.067711,8.605979
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,source.cache,1,0.000235,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,grid.geometry,1,0.020433,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,minio.tile_stat,1,0.00835,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,source.checksum,1,0.051733,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,source.download,1,0.0,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,entity.tile_mask,1,0.190531,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,entity.tile_write,1,0.128215,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,minio.tile_upload,1,0.060231,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,source.raster_open,1,0.010114,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,entity.tile_checksum,1,0.000255,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[0],raster_worker,grid.window_calculation,1,0.000364,0.471792
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,source.cache,1,0.000229,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,grid.geometry,1,0.019847,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,minio.tile_stat,1,0.007769,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,source.checksum,1,0.052542,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,source.download,1,0.0,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,entity.tile_mask,1,0.179185,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,entity.tile_write,1,0.118973,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,minio.tile_upload,1,0.023033,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,source.raster_open,1,0.009865,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,entity.tile_checksum,1,3.3e-05,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[1],raster_worker,grid.window_calculation,1,0.000339,0.413047
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,source.cache,1,0.000203,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,grid.geometry,1,0.018355,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,minio.tile_stat,1,0.007975,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,source.checksum,1,0.036193,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,source.download,1,0.0,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,entity.tile_mask,1,0.146867,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,entity.tile_write,1,0.087048,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,minio.tile_upload,1,0.024838,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,source.raster_open,1,0.009766,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,entity.tile_checksum,1,0.000111,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[2],raster_worker,grid.window_calculation,1,0.00032,0.332551
1,optical_isea4h,datasets[0].timings.units[0].workers[3],raster_worker,source.cache,1,0.000242,0.397875
1,optical_isea4h,datasets[0].timings.units[0].workers[3],raster_worker,grid.geometry,1,0.019026,0.397875
1,optical_isea4h,datasets[0].timings.units[0].workers[3],raster_worker,minio.tile_stat,1,0.008235,0.397875
1,optical_isea4h,datasets[0].timings.units[0].workers[3],raster_worker,source.checksum,1,0.035624,0.397875
1,optical_isea4h,datasets[0].timings.units[0].workers[3],raster_worker,source.download,1,0.0,0.397875
1,optical_isea4h,datasets[0].timings.units[0].workers[3],raster_worker,entity.tile_mask,1,0.156079,0.397875
1,optical_isea4h,datasets[0].timings.units[0].workers[3],raster_worker,entity.tile_write,1,0.114479,0.397875
