operation,object_type,tile_count,round_count,valid_round_count,payload_bytes,total_bytes,mean_io_sec,stdev_io_sec,min_io_sec,max_io_sec,mean_write_mib_per_sec,mean_read_mib_per_sec,pass_rate
read,entity_tile,1,5,5,22430,22430,0.003586,0.000825,0.002951,0.005016,,6.174092,1.0
read,entity_tile,10,5,5,22430,224300,0.012404,0.00038,0.01178,0.012756,,17.258761,1.0
read,entity_tile,100,5,5,22430,2243000,0.105599,0.004391,0.101016,0.111096,,20.28471,1.0
read,entity_tile,1000,5,5,22430,22430000,1.0355,0.006312,1.024608,1.0411,,20.658197,1.0
read,logical_chunk,1,5,5,894,894,0.003763,0.00182,0.002911,0.007018,,0.255609,1.0
read,logical_chunk,10,5,5,895,8951,0.012467,0.002131,0.010707,0.015959,,0.699232,1.0
read,logical_chunk,100,5,5,895,89525,0.092341,0.002915,0.088772,0.095904,,0.925329,1.0
read,logical_chunk,1000,5,5,895,895250,0.899831,0.021498,0.879216,0.924948,,0.94925,1.0
write,entity_tile,1,5,5,22430,22430,0.055628,0.003226,0.050727,0.058557,0.385614,,1.0
write,entity_tile,10,5,5,22430,224300,0.222674,0.118631,0.132204,0.413762,1.157963,,1.0
write,entity_tile,100,5,5,22430,2243000,1.089543,0.168071,0.970717,1.374722,1.996266,,1.0
write,entity_tile,1000,5,5,22430,22430000,10.542771,1.389168,9.611594,12.903733,2.054107,,1.0
