round,case_id,path,scope,phase,phase_count,phase_elapsed_sec,elapsed_sec
round_1,optical_geohash,timings.job_driver,ray_job_driver,workflow.run,1,41.118208,41.278448
round_1,optical_geohash,timings.job_driver,ray_job_driver,driver.bootstrap,1,0.153147,41.278448
round_1,optical_geohash,timings.job_driver,ray_job_driver,task.start_attempt,1,0.006329,41.278448
round_1,optical_geohash,datasets[0].timings.units[0].driver,logical_batch_driver,ray.init,1,0.063919,40.372221
round_1,optical_geohash,datasets[0].timings.units[0].driver,logical_batch_driver,ray.wait,41,40.196025,40.372221
round_1,optical_geohash,datasets[0].timings.units[0].driver,logical_batch_driver,ray.result_get,1,0.000377,40.372221
round_1,optical_geohash,datasets[0].timings.units[0].driver,logical_batch_driver,ray.task_submit,1,0.041001,40.372221
round_1,optical_geohash,datasets[0].timings.units[0].driver,logical_batch_driver,ray.task_prepare,2,0.000262,40.372221
round_1,optical_geohash,datasets[0].timings.units[0].driver,logical_batch_driver,driver.result_merge,1,6e-06,40.372221
round_1,optical_geohash,datasets[0].timings.units[0].workers[0],logical_worker,grid.cover,4,0.011817,0.165616
round_1,optical_geohash,datasets[0].timings.units[0].workers[0],logical_worker,grid.geometry,35,0.000283,0.165616
round_1,optical_geohash,datasets[0].timings.units[0].workers[0],logical_worker,minio.chunk_stat,1,0.007213,0.165616
round_1,optical_geohash,datasets[0].timings.units[0].workers[0],logical_worker,minio.chunk_upload,1,0.042902,0.165616
round_1,optical_geohash,datasets[0].timings.units[0].workers[0],logical_worker,logical.row_generation,4,0.002478,0.165616
round_1,optical_geohash,datasets[0].timings.units[0].workers[0],logical_worker,logical.chunk_serialize,1,0.002592,0.165616
round_1,optical_geohash,datasets[0].timings.units[0].workers[0],logical_worker,opengauss.logical_stage,1,0.098037,0.165616
round_1,optical_geohash,datasets[0].timings.units[0].source_preflight,source_preflight,minio.stat,1,0.15304,40.728249
round_1,optical_geohash,datasets[0].timings.units[1].driver,logical_batch_driver,ray.wait,1,0.077662,0.088564
round_1,optical_geohash,datasets[0].timings.units[1].driver,logical_batch_driver,ray.result_get,1,0.000248,0.088564
round_1,optical_geohash,datasets[0].timings.units[1].driver,logical_batch_driver,ray.task_submit,1,0.008647,0.088564
round_1,optical_geohash,datasets[0].timings.units[1].driver,logical_batch_driver,ray.task_prepare,2,0.000247,0.088564
round_1,optical_geohash,datasets[0].timings.units[1].driver,logical_batch_driver,driver.result_merge,1,5e-06,0.088564
