round,case_id,data_type,grid_type,grid_level,partition_execution_sec,end_to_end_sec,ray_job_sec,queue_wait_sec,driver_wait_sec,worker_scope_max_sec,active_partition_job_count,cold_start_gate_valid,source_checksum_verified,threshold_scope,worker_timing_present,final_status,attempt_status,ray_job_status,valid_sample,outlier,excluded_reason,raw_passed
round_1,optical_geohash,optical,geohash,4,41.126515,43.864876,44.479,2.702956,40.196025,0.165616,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,True,remote_worker_dispatch_tail:driver_wait>10s_and_worker_scope<6s,False
round_1,optical_mgrs,optical,mgrs,1,3.223862,5.473795,6.441,2.218542,1.659878,0.47001,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_1,optical_isea4h,optical,isea4h,6,65.571506,68.259884,69.272,2.658321,47.711344,8.114699,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,False
round_1,radar_geohash,radar,geohash,4,6.040769,9.288527,10.25,3.21879,4.055734,0.4958,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_1,radar_mgrs,radar,mgrs,1,3.543015,5.817488,6.762,2.243423,1.540078,0.360059,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_1,radar_isea4h,radar,isea4h,6,14.043696,16.342491,17.27,2.269459,9.298351,6.723842,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,False
round_1,product_geohash,product,geohash,4,1.951139,4.29274,4.969,2.313237,1.355025,0.164124,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_1,product_mgrs,product,mgrs,1,2.339295,4.605953,5.527,2.239782,1.727976,0.569902,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_1,product_isea4h,product,isea4h,6,12.427219,15.308879,15.78,2.418827,11.888542,9.569395,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,False
round_1,carbon_isea4h,carbon,isea4h,6,2.372387,4.620378,5.525,2.209828,1.670632,0.239892,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_2,optical_geohash,optical,geohash,4,3.676624,5.910886,6.824,2.204014,1.431237,0.198817,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
